%Time	w1, Point: 2	C(z) (1), Point: 2	w3, Point: 2	Gamma, Point: 2
0	0	2.49153	1	2.67031
0.01	0.02	1.47353	1	2.74553
0.02	0.03999	1.00224	1	2.81931
0.03	0.05996	0.67655	1	2.89163
0.04	0.07991	0.44275	1	2.96246
0.05	0.09983	0.27258	1	3.03178
0.06	0.11971	0.14834	1	3.09954
0.07	0.13954	0.05823	1	3.16574
0.08	0.15932	-0.006	1	3.23033
0.09	0.17903	-0.05031	1	3.2933
0.1	0.19867	-0.07914	1	3.35462
0.11	0.21823	-0.09587	1	3.41426
0.12	0.2377	-0.10311	1	3.47221
0.13	0.25708	-0.10287	1	3.52843
0.14	0.27636	-0.09677	1	3.5829
0.15	0.29552	-0.08607	1	3.63562
0.16	0.31457	-0.07177	1	3.68654
0.17	0.33349	-0.05468	1	3.73565
0.18	0.35227	-0.03544	1	3.78294
0.19	0.37092	-0.01455	1	3.82838
0.2	0.38942	0.00757	1	3.87196
0.21	0.40776	0.0306	1	3.91366
0.22	0.42594	0.05427	1	3.95345
0.23	0.44395	0.07837	1	3.99133
0.24	0.46178	0.10274	1	4.02729
0.25	0.47943	0.12723	1	4.06129
0.26	0.49688	0.15175	1	4.09334
0.27	0.51414	0.1762	1	4.12342
0.28	0.53119	0.20051	1	4.15152
0.29	0.54802	0.22462	1	4.17762
0.3	0.56464	0.2485	1	4.20172
0.31	0.58104	0.2721	1	4.2238
0.32	0.5972	0.29538	1	4.24387
0.33	0.61312	0.31834	1	4.2619
0.34	0.62879	0.34094	1	4.27789
0.35	0.64422	0.36317	1	4.29184
0.36	0.65938	0.38502	1	4.30374
0.37	0.67429	0.40648	1	4.31358
0.38	0.68892	0.42753	1	4.32136
0.39	0.70328	0.44818	1	4.32709
0.4	0.71736	0.46841	1	4.33075
0.41	0.73115	0.48821	1	4.33234
0.42	0.74464	0.50759	1	4.33187
0.43	0.75784	0.52653	1	4.32933
0.44	0.77074	0.54503	1	4.32472
0.45	0.78333	0.5631	1	4.31806
0.46	0.7956	0.58072	1	4.30933
0.47	0.80756	0.5979	1	4.29854
0.48	0.81919	0.61463	1	4.28571
0.49	0.8305	0.63091	1	4.27082
0.5	0.84147	0.64674	1	4.2539
0.51	0.85211	0.66212	1	4.23494
0.52	0.8624	0.67704	1	4.21395
0.53	0.87236	0.6915	1	4.19094
0.54	0.88196	0.70551	1	4.16592
0.55	0.89121	0.71906	1	4.13891
0.56	0.9001	0.73215	1	4.1099
0.57	0.90863	0.74477	1	4.07892
0.58	0.9168	0.75694	1	4.04597
0.59	0.92461	0.76863	1	4.01107
0.6	0.93204	0.77987	1	3.97424
0.61	0.9391	0.79064	1	3.93548
0.62	0.94578	0.80094	1	3.89481
0.63	0.95209	0.81078	1	3.85225
0.64	0.95802	0.82015	1	3.80782
0.65	0.96356	0.82905	1	3.76153
0.66	0.96872	0.83748	1	3.7134
0.67	0.97348	0.84545	1	3.66346
0.68	0.97786	0.85295	1	3.61171
0.69	0.98185	0.85998	1	3.55819
0.7	0.98545	0.86655	1	3.50291
0.71	0.98865	0.87265	1	3.4459
0.72	0.99146	0.87829	1	3.38717
0.73	0.99387	0.88345	1	3.32676
0.74	0.99588	0.88816	1	3.26469
0.75	0.99749	0.8924	1	3.20097
0.76	0.99871	0.89617	1	3.13564
0.77	0.99953	0.89949	1	3.06872
0.78	0.99994	0.90234	1	3.00024
0.79	0.99996	0.90474	1	2.93023
0.8	0.99957	0.90667	1	2.85872
0.81	0.99879	0.90815	1	2.78572
0.82	0.99761	0.90918	1	2.71128
0.83	0.99602	0.90975	1	2.63542
0.84	0.99404	0.90988	1	2.55818
0.85	0.99166	0.90955	1	2.47957
0.86	0.98889	0.90877	1	2.39965
0.87	0.98572	0.90756	1	2.31843
0.88	0.98215	0.9059	1	2.23594
0.89	0.9782	0.9038	1	2.15223
0.9	0.97385	0.90126	1	2.06733
0.91	0.96911	0.89829	1	1.98127
0.92	0.96398	0.89489	1	1.89408
0.93	0.95847	0.89106	1	1.8058
0.94	0.95258	0.88681	1	1.71646
0.95	0.9463	0.88214	1	1.6261
0.96	0.93965	0.87705	1	1.53476
0.97	0.93262	0.87154	1	1.44248
0.98	0.92521	0.86563	1	1.34928
0.99	0.91744	0.85931	1	1.25521
1	0.9093	0.85258	1	1.1603
1.01	0.90079	0.84546	1	1.0646
1.02	0.89193	0.83795	1	0.96814
1.03	0.88271	0.83004	1	0.87096
1.04	0.87313	0.82175	1	0.77309
1.05	0.86321	0.81308	1	0.67458
1.06	0.85294	0.80403	1	0.57547
1.07	0.84233	0.79461	1	0.4758
1.08	0.83138	0.78483	1	0.3756
1.09	0.8201	0.77468	1	0.27492
1.1	0.8085	0.76418	1	0.1738
1.11	0.79657	0.75333	1	0.07227
1.12	0.78432	0.74213	1	-0.02962
1.13	0.77175	0.7306	1	-0.13183
1.14	0.75888	0.71873	1	-0.23432
1.15	0.74571	0.70653	1	-0.33705
1.16	0.73223	0.69401	1	-0.43998
1.17	0.71846	0.68118	1	-0.54307
1.18	0.70441	0.66803	1	-0.64627
1.19	0.69007	0.65458	1	-0.74955
1.2	0.67546	0.64083	1	-0.85286
1.21	0.66058	0.62679	1	-0.95616
1.22	0.64543	0.61247	1	-1.05942
1.23	0.63003	0.59787	1	-1.16258
1.24	0.61437	0.583	1	-1.26561
1.25	0.59847	0.56786	1	-1.36847
1.26	0.58233	0.55246	1	-1.47112
1.27	0.56596	0.53682	1	-1.57351
1.28	0.54936	0.52092	1	-1.6756
1.29	0.53253	0.5048	1	-1.77736
1.3	0.5155	0.48844	1	-1.87874
1.31	0.49826	0.47186	1	-1.9797
1.32	0.48082	0.45506	1	-2.0802
1.33	0.46319	0.43806	1	-2.18021
1.34	0.44537	0.42085	1	-2.27967
1.35	0.42738	0.40346	1	-2.37856
1.36	0.40921	0.38587	1	-2.47683
1.37	0.39088	0.36811	1	-2.57444
1.38	0.3724	0.35018	1	-2.67136
1.39	0.35376	0.33209	1	-2.76754
1.4	0.33499	0.31384	1	-2.86294
1.41	0.31608	0.29544	1	-2.95754
1.42	0.29704	0.27691	1	-3.05128
1.43	0.27789	0.25825	1	-3.14414
1.44	0.25862	0.23946	1	-3.23607
1.45	0.23925	0.22055	1	-3.32704
1.46	0.21978	0.20154	1	-3.41702
1.47	0.20023	0.18243	1	-3.50596
1.48	0.1806	0.16323	1	-3.59383
1.49	0.16089	0.14395	1	-3.6806
1.5	0.14112	0.12459	1	-3.76623
1.51	0.12129	0.10517	1	-3.85069
1.52	0.10142	0.08569	1	-3.93394
1.53	0.0815	0.06616	1	-4.01594
1.54	0.06155	0.04658	1	-4.09668
1.55	0.04158	0.02697	1	-4.17611
1.56	0.02159	0.00734	1	-4.25421
1.57	0.00159	-0.01231	1	-4.33093
1.58	-0.01841	-0.03197	1	-4.40626
1.59	-0.0384	-0.05163	1	-4.48015
1.6	-0.05837	-0.07129	1	-4.55259
1.61	-0.07833	-0.09092	1	-4.62354
1.62	-0.09825	-0.11054	1	-4.69298
1.63	-0.11813	-0.13012	1	-4.76087
1.64	-0.13797	-0.14966	1	-4.82719
1.65	-0.15775	-0.16916	1	-4.89191
1.66	-0.17746	-0.1886	1	-4.95501
1.67	-0.19711	-0.20797	1	-5.01646
1.68	-0.21668	-0.22727	1	-5.07624
1.69	-0.23616	-0.2465	1	-5.13432
1.7	-0.25554	-0.26563	1	-5.19068
1.71	-0.27482	-0.28467	1	-5.2453
1.72	-0.294	-0.3036	1	-5.29815
1.73	-0.31305	-0.32242	1	-5.34922
1.74	-0.33199	-0.34113	1	-5.39848
1.75	-0.35078	-0.3597	1	-5.44591
1.76	-0.36944	-0.37814	1	-5.4915
1.77	-0.38795	-0.39644	1	-5.53523
1.78	-0.40631	-0.41459	1	-5.57707
1.79	-0.4245	-0.43258	1	-5.61702
1.8	-0.44252	-0.4504	1	-5.65505
1.81	-0.46037	-0.46806	1	-5.69116
1.82	-0.47803	-0.48553	1	-5.72532
1.83	-0.4955	-0.50282	1	-5.75753
1.84	-0.51277	-0.51991	1	-5.78777
1.85	-0.52984	-0.5368	1	-5.81602
1.86	-0.54669	-0.55349	1	-5.84228
1.87	-0.56333	-0.56996	1	-5.86654
1.88	-0.57974	-0.58621	1	-5.88879
1.89	-0.59592	-0.60223	1	-5.90901
1.9	-0.61186	-0.61802	1	-5.9272
1.91	-0.62755	-0.63356	1	-5.94336
1.92	-0.643	-0.64886	1	-5.95747
1.93	-0.65819	-0.6639	1	-5.96953
1.94	-0.67311	-0.67869	1	-5.97954
1.95	-0.68777	-0.69321	1	-5.98749
1.96	-0.70215	-0.70746	1	-5.99337
1.97	-0.71625	-0.72143	1	-5.9972
1.98	-0.73006	-0.73511	1	-5.99895
1.99	-0.74358	-0.74851	1	-5.99865
2	-0.7568	-0.76161	1	-5.99627
2.01	-0.76972	-0.77442	1	-5.99183
2.02	-0.78234	-0.78691	1	-5.98533
2.03	-0.79464	-0.7991	1	-5.97677
2.04	-0.80662	-0.81098	1	-5.96615
2.05	-0.81828	-0.82253	1	-5.95347
2.06	-0.82961	-0.83376	1	-5.93875
2.07	-0.84061	-0.84466	1	-5.92199
2.08	-0.85127	-0.85522	1	-5.90319
2.09	-0.8616	-0.86545	1	-5.88236
2.1	-0.87158	-0.87533	1	-5.85951
2.11	-0.88121	-0.88487	1	-5.83466
2.12	-0.89048	-0.89406	1	-5.8078
2.13	-0.89941	-0.9029	1	-5.77895
2.14	-0.90797	-0.91137	1	-5.74813
2.15	-0.91617	-0.91949	1	-5.71533
2.16	-0.924	-0.92724	1	-5.68059
2.17	-0.93146	-0.93462	1	-5.64391
2.18	-0.93855	-0.94164	1	-5.6053
2.19	-0.94527	-0.94828	1	-5.56478
2.2	-0.9516	-0.95454	1	-5.52238
2.21	-0.95756	-0.96042	1	-5.47809
2.22	-0.96313	-0.96593	1	-5.43195
2.23	-0.96832	-0.97105	1	-5.38397
2.24	-0.97312	-0.97578	1	-5.33417
2.25	-0.97753	-0.98013	1	-5.28257
2.26	-0.98155	-0.98408	1	-5.22918
2.27	-0.98518	-0.98765	1	-5.17404
2.28	-0.98841	-0.99082	1	-5.11717
2.29	-0.99125	-0.9936	1	-5.05858
2.3	-0.99369	-0.99598	1	-4.9983
2.31	-0.99574	-0.99797	1	-4.93636
2.32	-0.99738	-0.99956	1	-4.87277
2.33	-0.99863	-1.00076	1	-4.80757
2.34	-0.99948	-1.00155	1	-4.74078
2.35	-0.99992	-1.00195	1	-4.67242
2.36	-0.99997	-1.00195	1	-4.60253
2.37	-0.99962	-1.00155	1	-4.53113
2.38	-0.99887	-1.00075	1	-4.45826
2.39	-0.99772	-0.99955	1	-4.38393
2.4	-0.99616	-0.99795	1	-4.30818
2.41	-0.99422	-0.99596	1	-4.23105
2.42	-0.99187	-0.99357	1	-4.15255
2.43	-0.98913	-0.99079	1	-4.07273
2.44	-0.98599	-0.98761	1	-3.99161
2.45	-0.98245	-0.98403	1	-3.90922
2.46	-0.97853	-0.98007	1	-3.82561
2.47	-0.97421	-0.97571	1	-3.7408
2.48	-0.9695	-0.97097	1	-3.65483
2.49	-0.96441	-0.96584	1	-3.56773
2.5	-0.95892	-0.96032	1	-3.47953
2.51	-0.95306	-0.95442	1	-3.39028
2.52	-0.94681	-0.94814	1	-3.3
2.53	-0.94019	-0.94149	1	-3.20874
2.54	-0.93319	-0.93445	1	-3.11653
2.55	-0.92581	-0.92705	1	-3.0234
2.56	-0.91807	-0.91927	1	-2.9294
2.57	-0.90996	-0.91113	1	-2.83456
2.58	-0.90148	-0.90263	1	-2.73892
2.59	-0.89265	-0.89377	1	-2.64251
2.6	-0.88345	-0.88455	1	-2.54539
2.61	-0.87391	-0.87497	1	-2.44757
2.62	-0.86401	-0.86505	1	-2.34912
2.63	-0.85377	-0.85479	1	-2.25005
2.64	-0.84319	-0.84418	1	-2.15042
2.65	-0.83227	-0.83323	1	-2.05027
2.66	-0.82101	-0.82196	1	-1.94962
2.67	-0.80943	-0.81035	1	-1.84853
2.68	-0.79753	-0.79842	1	-1.74704
2.69	-0.7853	-0.78618	1	-1.64517
2.7	-0.77276	-0.77362	1	-1.54299
2.71	-0.75992	-0.76075	1	-1.44052
2.72	-0.74677	-0.74758	1	-1.3378
2.73	-0.73332	-0.73411	1	-1.23489
2.74	-0.71957	-0.72035	1	-1.13181
2.75	-0.70554	-0.7063	1	-1.02862
2.76	-0.69123	-0.69196	1	-0.92534
2.77	-0.67664	-0.67736	1	-0.82203
2.78	-0.66178	-0.66248	1	-0.71873
2.79	-0.64665	-0.64734	1	-0.61547
2.8	-0.63127	-0.63193	1	-0.5123
2.81	-0.61563	-0.61628	1	-0.40925
2.82	-0.59975	-0.60038	1	-0.30638
2.83	-0.58362	-0.58424	1	-0.20371
2.84	-0.56727	-0.56787	1	-0.1013
2.85	-0.55069	-0.55128	1	8.18365e-4
2.86	-0.53388	-0.53446	1	0.1026
2.87	-0.51687	-0.51743	1	0.20401
2.88	-0.49964	-0.50019	1	0.30501
2.89	-0.48222	-0.48275	1	0.40555
2.9	-0.4646	-0.46512	1	0.5056
2.91	-0.4468	-0.44731	1	0.60511
2.92	-0.42882	-0.42931	1	0.70404
2.93	-0.41067	-0.41115	1	0.80236
2.94	-0.39235	-0.39282	1	0.90003
2.95	-0.37388	-0.37434	1	0.997
2.96	-0.35525	-0.3557	1	1.09324
2.97	-0.33649	-0.33693	1	1.18871
2.98	-0.31759	-0.31802	1	1.28337
2.99	-0.29856	-0.29898	1	1.37718
3	-0.27942	-0.27982	1	1.47011
3.01	-0.26016	-0.26055	1	1.56212
3.02	-0.2408	-0.24118	1	1.65317
3.03	-0.22134	-0.22172	1	1.74322
3.04	-0.20179	-0.20216	1	1.83225
3.05	-0.18216	-0.18252	1	1.92021
3.06	-0.16246	-0.16281	1	2.00707
3.07	-0.1427	-0.14304	1	2.09279
3.08	-0.12287	-0.12321	1	2.17734
3.09	-0.103	-0.10333	1	2.26068
3.1	-0.08309	-0.08341	1	2.34279
3.11	-0.06314	-0.06345	1	2.42363
3.12	-0.04317	-0.04348	1	2.50317
3.13	-0.02318	-0.02348	1	2.58137
3.14	-0.00319	-0.00347	1	2.65821
3.15	0.01681	0.01653	1	2.73364
3.16	0.03681	0.03653	1	2.80766
3.17	0.05678	0.05652	1	2.88021
3.18	0.07674	0.07648	1	2.95128
3.19	0.09666	0.09641	1	3.02084
3.2	0.11655	0.1163	1	3.08885
3.21	0.13639	0.13614	1	3.1553
3.22	0.15617	0.15594	1	3.22015
3.23	0.17589	0.17566	1	3.28338
3.24	0.19555	0.19532	1	3.34496
3.25	0.21512	0.2149	1	3.40488
3.26	0.23461	0.23439	1	3.46309
3.27	0.254	0.25379	1	3.51959
3.28	0.27329	0.27309	1	3.57435
3.29	0.29248	0.29228	1	3.62734
3.3	0.31154	0.31135	1	3.67855
3.31	0.33048	0.33029	1	3.72795
3.32	0.34929	0.34911	1	3.77553
3.33	0.36796	0.36778	1	3.82127
3.34	0.38648	0.38631	1	3.86515
3.35	0.40485	0.40468	1	3.90714
3.36	0.42306	0.42289	1	3.94724
3.37	0.44109	0.44093	1	3.98543
3.38	0.45895	0.45879	1	4.02169
3.39	0.47663	0.47647	1	4.05601
3.4	0.49411	0.49396	1	4.08837
3.41	0.5114	0.51125	1	4.11876
3.42	0.52848	0.52834	1	4.14718
3.43	0.54536	0.54521	1	4.1736
3.44	0.56201	0.56187	1	4.19802
3.45	0.57844	0.5783	1	4.22042
3.46	0.59464	0.59451	1	4.24081
3.47	0.6106	0.61047	1	4.25916
3.48	0.62631	0.62619	1	4.27548
3.49	0.64178	0.64166	1	4.28975
3.5	0.65699	0.65687	1	4.30198
3.51	0.67193	0.67182	1	4.31215
3.52	0.68661	0.6865	1	4.32026
3.53	0.70101	0.7009	1	4.32631
3.54	0.71513	0.71502	1	4.3303
3.55	0.72897	0.72886	1	4.33222
3.56	0.74251	0.74241	1	4.33208
3.57	0.75576	0.75566	1	4.32987
3.58	0.76871	0.76861	1	4.3256
3.59	0.78134	0.78125	1	4.31926
3.6	0.79367	0.79357	1	4.31086
3.61	0.80568	0.80558	1	4.3004
3.62	0.81736	0.81727	1	4.28789
3.63	0.82872	0.82863	1	4.27333
3.64	0.83975	0.83966	1	4.25673
3.65	0.85044	0.85035	1	4.23809
