%Time	C(z) (1), Point: 2	w1, Point: 2	w2, Point: 2	Gamma, Point: 2
0	0.53334	1	0	15.99068
0.025	0.53944	1	0.00312	15.98397
0.05	0.54498	1	0.00625	15.97726
0.075	0.54968	1	0.00937	15.97055
0.1	0.55342	1	0.01249	15.96385
0.125	0.55618	1	0.01561	15.95716
0.15	0.55804	1	0.01873	15.95047
0.175	0.55919	1	0.02185	15.94379
0.2	0.5599	1	0.02496	15.93711
0.225	0.5605	1	0.02807	15.93045
0.25	0.56143	1	0.03117	15.9238
0.275	0.56314	1	0.03427	15.91716
0.3	0.56613	1	0.03736	15.91053
0.325	0.57099	1	0.04045	15.90392
0.35	0.57827	1	0.04353	15.89732
0.375	0.58861	1	0.0466	15.89074
0.4	0.60262	1	0.04967	15.88418
0.425	0.62099	1	0.05273	15.87763
0.45	0.64426	1	0.05578	15.8711
0.475	0.67313	1	0.05882	15.86459
0.5	0.70837	1	0.06185	15.85811
0.525	0.75016	1	0.06487	15.85164
0.55	0.79788	1	0.06789	15.8452
0.575	0.85064	1	0.07089	15.83879
0.6	0.90764	1	0.07388	15.83239
0.625	0.96797	1	0.07686	15.82603
0.65	1.03078	1	0.07983	15.81969
0.675	1.09531	1	0.08278	15.81338
0.7	1.16064	1	0.08572	15.8071
0.725	1.226	1	0.08865	15.80085
0.75	1.29052	1	0.09157	15.79463
0.775	1.3533	1	0.09447	15.78844
0.8	1.41354	1	0.09735	15.78229
0.825	1.47023	1	0.10023	15.77617
0.85	1.52248	1	0.10308	15.77008
0.875	1.56939	1	0.10592	15.76403
0.9	1.6098	1	0.10874	15.75802
0.925	1.64271	1	0.11155	15.75205
0.95	1.66733	1	0.11433	15.74611
0.975	1.6822	1	0.1171	15.74021
1	1.68583	1	0.11986	15.73436
1.025	1.67817	1	0.12259	15.72854
1.05	1.66027	1	0.1253	15.72277
1.075	1.63348	1	0.128	15.71704
1.1	1.59936	1	0.13067	15.71136
1.125	1.55928	1	0.13333	15.70572
1.15	1.51438	1	0.13596	15.70013
1.175	1.46588	1	0.13857	15.69458
1.2	1.41478	1	0.14116	15.68908
1.225	1.362	1	0.14373	15.68363
1.25	1.30845	1	0.14627	15.67823
1.275	1.25491	1	0.1488	15.67288
1.3	1.20209	1	0.1513	15.66758
1.325	1.15071	1	0.15377	15.66233
1.35	1.10134	1	0.15622	15.65714
1.375	1.05452	1	0.15865	15.652
1.4	1.01089	1	0.16105	15.64691
1.425	0.9708	1	0.16343	15.64188
1.45	0.93465	1	0.16578	15.63691
1.475	0.90305	1	0.16811	15.63199
1.5	0.87639	1	0.17041	15.62713
1.525	0.85467	1	0.17268	15.62232
1.55	0.83758	1	0.17493	15.61758
1.575	0.82458	1	0.17715	15.61289
1.6	0.81511	1	0.17934	15.60827
1.625	0.8087	1	0.1815	15.60371
1.65	0.80483	1	0.18364	15.59921
1.675	0.80303	1	0.18574	15.59477
1.7	0.8029	1	0.18782	15.5904
1.725	0.80404	1	0.18987	15.58608
1.75	0.8061	1	0.19189	15.58184
1.775	0.80875	1	0.19387	15.57766
1.8	0.81175	1	0.19583	15.57354
1.825	0.81486	1	0.19776	15.5695
1.85	0.81787	1	0.19966	15.56551
1.875	0.82064	1	0.20152	15.5616
1.9	0.82313	1	0.20335	15.55776
1.925	0.82522	1	0.20516	15.55398
1.95	0.82694	1	0.20693	15.55028
1.975	0.82841	1	0.20866	15.54664
2	0.82973	1	0.21037	15.54308
2.025	0.83089	1	0.21204	15.53958
2.05	0.83188	1	0.21368	15.53616
2.075	0.83258	1	0.21528	15.53281
2.1	0.83296	1	0.21686	15.52954
2.125	0.83299	1	0.21839	15.52634
2.15	0.8327	1	0.2199	15.52321
2.175	0.83216	1	0.22137	15.52015
2.2	0.83147	1	0.2228	15.51718
2.225	0.83078	1	0.2242	15.51427
2.25	0.83017	1	0.22557	15.51145
2.275	0.82988	1	0.2269	15.50869
2.3	0.83009	1	0.22819	15.50602
2.325	0.83099	1	0.22945	15.50342
2.35	0.83279	1	0.23067	15.5009
2.375	0.83577	1	0.23186	15.49846
2.4	0.84016	1	0.23301	15.4961
2.425	0.84611	1	0.23412	15.49381
2.45	0.85392	1	0.2352	15.49161
2.475	0.86394	1	0.23624	15.48948
2.5	0.87639	1	0.23725	15.48744
2.525	0.8913	1	0.23821	15.48547
2.55	0.90848	1	0.23914	15.48359
2.575	0.92764	1	0.24003	15.48178
2.6	0.94849	1	0.24089	15.48006
2.625	0.97069	1	0.24171	15.47841
2.65	0.99398	1	0.24249	15.47685
2.675	1.01802	1	0.24323	15.47537
2.7	1.04249	1	0.24393	15.47398
2.725	1.06712	1	0.2446	15.47266
2.75	1.09162	1	0.24522	15.47143
2.775	1.11559	1	0.24581	15.47028
2.8	1.1387	1	0.24636	15.46921
2.825	1.16075	1	0.24687	15.46822
2.85	1.18126	1	0.24735	15.46732
2.875	1.19976	1	0.24778	15.4665
2.9	1.21603	1	0.24818	15.46577
2.925	1.22978	1	0.24854	15.46512
2.95	1.24043	1	0.24885	15.46455
2.975	1.24741	1	0.24913	15.46407
3	1.25029	1	0.24937	15.46367
3.025	1.24904	1	0.24958	15.46335
3.05	1.24399	1	0.24974	15.46312
3.075	1.23563	1	0.24986	15.46297
3.1	1.22446	1	0.24995	15.4629
3.125	1.21099	1	0.24999	15.46292
3.15	1.19566	1	0.25	15.46302
3.175	1.17887	1	0.24997	15.46321
3.2	1.16101	1	0.24989	15.46348
3.225	1.1424	1	0.24978	15.46384
3.25	1.12336	1	0.24963	15.46427
3.275	1.10423	1	0.24944	15.4648
3.3	1.08523	1	0.24922	15.4654
3.325	1.06659	1	0.24895	15.46609
3.35	1.04861	1	0.24864	15.46686
3.375	1.03149	1	0.2483	15.46772
3.4	1.0154	1	0.24792	15.46866
3.425	1.00049	1	0.24749	15.46968
3.45	0.98697	1	0.24703	15.47078
3.475	0.97507	1	0.24653	15.47197
3.5	0.96493	1	0.246	15.47324
3.525	0.95654	1	0.24542	15.47459
3.55	0.94979	1	0.24481	15.47603
3.575	0.94453	1	0.24415	15.47754
3.6	0.94056	1	0.24346	15.47914
3.625	0.93768	1	0.24273	15.48082
3.65	0.93574	1	0.24197	15.48258
3.675	0.93456	1	0.24116	15.48442
3.7	0.934	1	0.24032	15.48634
3.725	0.93391	1	0.23944	15.48835
3.75	0.93417	1	0.23852	15.49043
3.775	0.93467	1	0.23757	15.49259
3.8	0.93529	1	0.23658	15.49483
3.825	0.93595	1	0.23555	15.49715
3.85	0.9366	1	0.23448	15.49955
3.875	0.9372	1	0.23338	15.50203
3.9	0.93767	1	0.23224	15.50458
3.925	0.93801	1	0.23107	15.50721
3.95	0.93822	1	0.22985	15.50992
3.975	0.93835	1	0.22861	15.51271
4	0.93844	1	0.22732	15.51557
4.025	0.93848	1	0.22601	15.51851
4.05	0.93845	1	0.22465	15.52152
4.075	0.93833	1	0.22326	15.5246
4.1	0.93809	1	0.22184	15.52777
4.125	0.93772	1	0.22038	15.531
4.15	0.93724	1	0.21889	15.53431
4.175	0.93668	1	0.21736	15.53769
4.2	0.93606	1	0.2158	15.54114
4.225	0.93542	1	0.21421	15.54467
4.25	0.93485	1	0.21258	15.54827
4.275	0.93439	1	0.21092	15.55193
4.3	0.9341	1	0.20922	15.55567
4.325	0.93406	1	0.2075	15.55948
4.35	0.93439	1	0.20574	15.56335
4.375	0.93516	1	0.20395	15.5673
4.4	0.93643	1	0.20212	15.57131
4.425	0.9383	1	0.20027	15.57538
4.45	0.94088	1	0.19838	15.57953
4.475	0.9443	1	0.19647	15.58374
4.5	0.94864	1	0.19452	15.58801
4.525	0.95392	1	0.19254	15.59235
4.55	0.96007	1	0.19053	15.59676
