%Time	C1(z) (1), Point: 4	yr1, Point: 4	C2(z) (1), Point: 4	yr2, Point: 4
0	0.45028	0.75	-0.41477	0.75
0.01	0.42824	0.74999	-0.36961	0.7499
0.02	0.40667	0.74995	-0.32467	0.7496
0.03	0.38589	0.74989	-0.28179	0.7491
0.04	0.36654	0.7498	-0.24161	0.7484
0.05	0.34899	0.74969	-0.20438	0.7475
0.06	0.33333	0.74955	-0.17005	0.7464
0.07	0.31959	0.74939	-0.13847	0.74511
0.08	0.30765	0.7492	-0.10946	0.74361
0.09	0.2974	0.74899	-0.0828	0.74192
0.1	0.28869	0.74875	-0.05832	0.74003
0.11	0.2814	0.74849	-0.03582	0.73795
0.12	0.27541	0.7482	-0.01515	0.73567
0.13	0.27057	0.74789	0.00384	0.73319
0.14	0.26679	0.74755	0.02128	0.73053
0.15	0.26396	0.74719	0.0373	0.72767
0.16	0.26197	0.74681	0.05201	0.72462
0.17	0.26075	0.7464	0.0655	0.72138
0.18	0.2602	0.74596	0.07787	0.71795
0.19	0.26026	0.7455	0.0892	0.71433
0.2	0.26086	0.74502	0.09956	0.71053
0.21	0.26194	0.74451	0.10902	0.70654
0.22	0.26344	0.74397	0.11764	0.70238
0.23	0.26532	0.74342	0.12547	0.69803
0.24	0.26753	0.74283	0.13256	0.6935
0.25	0.27003	0.74223	0.13897	0.68879
0.26	0.27278	0.7416	0.14473	0.68391
0.27	0.27574	0.74094	0.14988	0.67885
0.28	0.2789	0.74026	0.15445	0.67363
0.29	0.28222	0.73956	0.15848	0.66823
0.3	0.28567	0.73883	0.162	0.66267
0.31	0.28924	0.73808	0.16504	0.65694
0.32	0.2929	0.73731	0.16761	0.65105
0.33	0.29664	0.73651	0.16975	0.645
0.34	0.30044	0.73569	0.17147	0.63879
0.35	0.30428	0.73484	0.17279	0.63242
0.36	0.30816	0.73397	0.17374	0.6259
0.37	0.31205	0.73308	0.17432	0.61923
0.38	0.31596	0.73217	0.17456	0.61242
0.39	0.31986	0.73123	0.17447	0.60546
0.4	0.32376	0.73027	0.17406	0.59835
0.41	0.32764	0.72928	0.17334	0.59111
0.42	0.3315	0.72827	0.17234	0.58373
0.43	0.33532	0.72724	0.17105	0.57622
0.44	0.33912	0.72619	0.16949	0.56858
0.45	0.34287	0.72511	0.16767	0.5608
0.46	0.34658	0.72401	0.1656	0.55291
0.47	0.35024	0.72289	0.16329	0.54489
0.48	0.35385	0.72175	0.16075	0.53676
0.49	0.3574	0.72058	0.15798	0.52851
0.5	0.3609	0.7194	0.155	0.52015
0.51	0.36434	0.71819	0.1518	0.51168
0.52	0.36772	0.71695	0.14841	0.50311
0.53	0.37104	0.7157	0.14481	0.49444
0.54	0.37429	0.71443	0.14104	0.48566
0.55	0.37748	0.71313	0.13708	0.4768
0.56	0.3806	0.71181	0.13294	0.46784
0.57	0.38366	0.71048	0.12864	0.4588
0.58	0.38665	0.70912	0.12417	0.44967
0.59	0.38957	0.70774	0.11955	0.44046
0.6	0.39242	0.70633	0.11478	0.43118
0.61	0.3952	0.70491	0.10986	0.42182
0.62	0.39792	0.70347	0.10481	0.4124
0.63	0.40056	0.70201	0.09962	0.40291
0.64	0.40314	0.70052	0.0943	0.39336
0.65	0.40565	0.69902	0.08886	0.38375
0.66	0.40809	0.6975	0.0833	0.37409
0.67	0.41046	0.69596	0.07764	0.36438
0.68	0.41276	0.69439	0.07186	0.35462
0.69	0.415	0.69281	0.06598	0.34482
0.7	0.41716	0.69121	0.06001	0.33498
0.71	0.41926	0.68959	0.05395	0.32511
0.72	0.4213	0.68795	0.0478	0.31521
0.73	0.42327	0.68629	0.04157	0.30528
0.74	0.42517	0.68462	0.03527	0.29534
0.75	0.42701	0.68292	0.02889	0.28537
0.76	0.42878	0.68121	0.02245	0.27539
0.77	0.43049	0.67948	0.01595	0.2654
0.78	0.43214	0.67773	0.00939	0.2554
0.79	0.43372	0.67596	0.00278	0.2454
0.8	0.43524	0.67418	-0.00387	0.2354
0.81	0.4367	0.67237	-0.01057	0.22541
0.82	0.4381	0.67056	-0.0173	0.21543
0.83	0.43944	0.66872	-0.02407	0.20546
0.84	0.44072	0.66687	-0.03086	0.19551
0.85	0.44194	0.665	-0.03767	0.18558
0.86	0.44311	0.66311	-0.04451	0.17567
0.87	0.44421	0.66121	-0.05135	0.1658
0.88	0.44526	0.65929	-0.05821	0.15596
0.89	0.44625	0.65735	-0.06507	0.14616
0.9	0.44719	0.6554	-0.07192	0.1364
0.91	0.44808	0.65344	-0.07878	0.12668
0.92	0.44891	0.65146	-0.08562	0.11702
0.93	0.44968	0.64946	-0.09245	0.10741
0.94	0.45041	0.64745	-0.09926	0.09785
0.95	0.45108	0.64542	-0.10605	0.08836
0.96	0.4517	0.64338	-0.11281	0.07893
0.97	0.45227	0.64132	-0.11954	0.06956
0.98	0.45279	0.63926	-0.12624	0.06027
0.99	0.45327	0.63717	-0.13289	0.05106
1	0.45369	0.63508	-0.1395	0.04193
1.01	0.45406	0.63297	-0.14606	0.03288
1.02	0.45439	0.63084	-0.15257	0.02391
1.03	0.45467	0.6287	-0.15902	0.01504
1.04	0.45491	0.62656	-0.16541	0.00626
1.05	0.4551	0.62439	-0.17174	-0.00242
1.06	0.45525	0.62222	-0.178	-0.011
1.07	0.45535	0.62003	-0.18419	-0.01948
1.08	0.45541	0.61783	-0.1903	-0.02785
1.09	0.45542	0.61562	-0.19632	-0.03611
1.1	0.4554	0.6134	-0.20227	-0.04425
1.11	0.45533	0.61117	-0.20813	-0.05228
1.12	0.45522	0.60892	-0.2139	-0.06018
1.13	0.45507	0.60666	-0.21957	-0.06796
1.14	0.45488	0.6044	-0.22514	-0.07561
1.15	0.45466	0.60212	-0.23062	-0.08314
1.16	0.45439	0.59983	-0.23598	-0.09053
1.17	0.45409	0.59754	-0.24124	-0.09778
1.18	0.45375	0.59523	-0.24639	-0.1049
1.19	0.45337	0.59291	-0.25142	-0.11187
1.2	0.45296	0.59059	-0.25634	-0.1187
1.21	0.45251	0.58825	-0.26113	-0.12538
1.22	0.45203	0.58591	-0.2658	-0.13191
1.23	0.45152	0.58356	-0.27034	-0.13829
1.24	0.45097	0.5812	-0.27475	-0.14451
1.25	0.45038	0.57883	-0.27903	-0.15057
1.26	0.44977	0.57645	-0.28317	-0.15648
1.27	0.44912	0.57407	-0.28717	-0.16222
1.28	0.44844	0.57168	-0.29104	-0.16779
1.29	0.44773	0.56928	-0.29476	-0.1732
1.3	0.447	0.56687	-0.29833	-0.17844
1.31	0.44623	0.56446	-0.30175	-0.18351
1.32	0.44543	0.56204	-0.30503	-0.18841
1.33	0.4446	0.55962	-0.30815	-0.19313
1.34	0.44375	0.55719	-0.31111	-0.19767
1.35	0.44287	0.55475	-0.31392	-0.20204
1.36	0.44196	0.55231	-0.31657	-0.20622
1.37	0.44103	0.54986	-0.31906	-0.21022
1.38	0.44007	0.54741	-0.32138	-0.21404
1.39	0.43908	0.54495	-0.32354	-0.21767
1.4	0.43807	0.54249	-0.32553	-0.22111
1.41	0.43704	0.54003	-0.32735	-0.22437
1.42	0.43598	0.53756	-0.32901	-0.22743
1.43	0.4349	0.53508	-0.33049	-0.23031
1.44	0.4338	0.53261	-0.3318	-0.23299
1.45	0.43267	0.53013	-0.33293	-0.23548
1.46	0.43153	0.52764	-0.33389	-0.23777
1.47	0.43036	0.52516	-0.33467	-0.23987
1.48	0.42917	0.52267	-0.33528	-0.24178
1.49	0.42796	0.52018	-0.3357	-0.24349
1.5	0.42673	0.51768	-0.33595	-0.245
1.51	0.42549	0.51519	-0.33601	-0.24631
1.52	0.42422	0.51269	-0.33589	-0.24742
1.53	0.42294	0.5102	-0.3356	-0.24834
1.54	0.42163	0.5077	-0.33512	-0.24905
1.55	0.42032	0.5052	-0.33445	-0.24957
1.56	0.41898	0.5027	-0.3336	-0.24988
1.57	0.41763	0.5002	-0.33257	-0.25
1.58	0.41626	0.4977	-0.33135	-0.24992
1.59	0.41488	0.4952	-0.32995	-0.24963
1.6	0.41348	0.4927	-0.32837	-0.24915
1.61	0.41207	0.4902	-0.3266	-0.24846
1.62	0.41064	0.4877	-0.32464	-0.24758
1.63	0.4092	0.48521	-0.3225	-0.2465
1.64	0.40775	0.48271	-0.32018	-0.24522
