% Model:              IncommensuratePeriodicSignals.mph
% Version:            COMSOL 4.4.0.150
% Date:               Feb 2 2014, 18:07
% Table:              Probe Table 1 - 
% l                      k                        , Gamma_lk11             , Gamma_lk12             , Gamma_lk21             , Gamma_lk22             , Gamma_lk31             , Gamma_lk32
1                        0                        -2.59551446923744        0                        -845.090233310403        0                        201.080507896101         0
1                        1                        -1.9817971845079336      2.321524594322473        -564.9840806795664       790.1196350253012        119.79507244087802       -203.73289728724444
1                        2                        -0.18208501763436047     4.3232843308155555       249.79780455862783       1357.2089035886665       -114.40845905142623      -332.74832916427954
1                        3                        2.6707510936030516       5.70542014938847         1520.267514508283        1502.669424592592        -472.5454640464204       -320.5141583060408
1                        4                        6.33889876882936         6.184561501494599        3103.7367363323137       1071.6252085022643       -904.6320524560797       -116.49526899029661
1                        5                        10.500737549695856       5.47178449056662         4784.332328098855        -47.823415101956925      -1336.938697441934       311.13936224394274
1                        6                        14.806204904431851       3.291082800606432        6290.67449981071         -1935.4990246117814      -1675.9464606944148      977.9290691310016
1                        7                        18.893319503807962       -0.560682390419629       7329.8132387167825       -4626.618941990018       -1819.2470706088143      1880.8883662666485
1                        8                        22.364146453501547       -6.183712468241424       7604.106157132679        -8085.711457471189       -1663.6390379670265      2991.2132126999495
1                        9                        24.77455364694319        -13.579362737444058      6816.5738198859035       -12192.796921394765      -1109.4368305569515      4249.361398971378
1                        10                       25.645300288936824       -22.655962670909503      4680.323186073394        -16740.999172654585      -65.16181287559448       5563.830496717375
1                        11                       24.479718150224812       -33.22772944720589       933.5874931641156        -21437.968729452346      1546.3028284899483       6811.835656088035
1                        12                       20.781257697585147       -45.010772635886156      -4642.695370636415       -25908.904663623485      3780.7536154982517       7841.076119881385
1                        13                       14.070236006805544       -57.61948532651286       -12206.68612469663       -29701.565196581476      6665.514393090329        8472.568168064667
1                        14                       3.9003349781153247       -70.56457953081815       -21837.679273091955      -32293.858971557784      10192.44517703401        8504.666850793765
1                        15                       -10.124783776377626      -83.25311770881038       -33518.85917235236       -33104.336973395984      14311.35430670029        7718.35031581317
1                        16                       -28.334643570843582      -94.9906268466857        -47121.19845592836       -31505.685952581756      18924.02398568322        5883.777081803128
1                        17                       -50.97494343263679       -104.98533008723075      -62388.923353401944      -26841.184757430223      23879.05167462281        2768.0764898822817
1                        18                       -78.19049502841699       -112.35453319470707      -78926.97537911637       -18443.988055265974      28967.704672115273       -1855.7073042144766
1                        19                       -110.00826282659455      -116.13321405517263      -96190.890403606         -5659.024489882402       33920.97619742283        -8198.63137442898
1                        20                       -146.3206876150207       -115.28487191639397      -113479.49268090725      12132.77081224788        38408.016954844585       -16444.973571200855
2                        0                        1.61132805650271         0                        170.618227648515         0                        -40.7833107239756        0
2                        1                        -0.7217069075954909      -3.1101920867151978      149.10466692326725       -166.55511827112605      -31.21589952314102       48.31970684448493
2                        2                        -6.795316781853511       -2.673984106719166       104.0691961258799        -323.6479214478395       -9.503654885436504       95.31575806387946
2                        3                        -14.012859078173681      4.132323589777723        28.088655161729548       -427.36593907485985      21.817600958530647       126.44161825258175
2                        4                        -18.27836865000745       18.72356248541392        -103.713384963723        -480.88146614538255      69.38496851569016        137.89292664799677
2                        5                        -14.538937431596302      40.69359888861015        -278.97831709327875      -491.90726374305723      130.12781624895297       130.69999613428058
2                        6                        2.495419704287908        67.37218724669864        -481.5753929883249       -453.7628617848768       198.21484317507202       102.60485398708028
2                        7                        37.58204643906017        93.60318817230856        -698.0460956972711       -358.1180038011389       267.9401176645688        50.867276141173306
2                        8                        94.08130478661187        111.7664723184258        -915.3028246537506       -198.39649102635667      333.45532395456394       -26.561358606109025
2                        9                        173.0567461597302        112.04378511204447       -1119.7006976280682      29.784080315923347       388.6049301729072        -130.77414475999376
2                        10                       272.40292011651684       82.9414985358025         -1296.9298322296745      328.5660431113429        426.95386506465184       -261.8315710974548
2                        11                       386.0630493195771        12.072688683853997       -1432.1864582754206      697.8636265361856        441.8915445410512        -418.7375090187488
2                        12                       503.3995474427889        -112.81198830064048      -1510.4169505629616      1135.4261931288347       426.75292804277524       -599.4506514915556
2                        13                       608.7796742761753        -302.568269573124        -1516.5410701305445      1636.9658947194112       374.9235765601816        -800.9272234916316
2                        14                       681.4357722593761        -565.2138479371553       -1435.593941008152       2196.345036101149        279.905053775577         -1019.186241852367
2                        15                       695.6543564488546        -904.3450777237226       -1252.738200503305       2805.7981888110226       135.3216830735164        -1249.380949457569
2                        16                       621.3408179278035        -1317.47658708139        -953.1049876398683       3456.145211083436        -65.146237500614         -1485.8519620394436
2                        17                       424.99669627024696       -1794.3768028792329      -521.4285737386672       4136.933355564077        -327.91331263239044      -1722.1293940520845
2                        18                       71.13447893859114        -2315.4823061520137      58.55588829726912        4836.426698666939        -659.7300169363734       -1950.8416066692298
2                        19                       -475.85915273427156      -2850.482156448381       804.9795811083168        5541.334581998468        -1068.0148548893267      -2163.4751589394
2                        20                       -1249.416587564262       -3357.1695035493403      1739.0001573664485       6236.127424072591        -1561.2723196975276      -2349.9095205343183
3                        0                        1.13278596347482         0                        858.287466141936         0                        -200.927620030446        0
3                        1                        0.7357191968124894       -1.3776457751446833      -64.43444739169172       -1320.1752210404889      64.09325807489404        321.86779239792884
3                        2                        -0.3900301648818427      -2.842781626089696       -2542.4172585457054      -1400.3137391822165      754.0748831044475        227.91234739221454
3                        3                        -1.9539358116314673      -4.349903316603331       -5604.3824033631245      627.2584851646097        1533.61431479776         -554.2536266770912
