% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
0                        1                        1                        1.1309191873582906E-15   0                        3.638818536313186E-14    0                        -1.674949608592417E-14   0
0                        1                        2                        5.424533743016797        0                        89.11527896728245        0                        -41.57331488579337       0
0                        1                        3                        -6.409370623286496       0                        -350.0342186905853       0                        157.26353972962292       0
0                        1                        4                        -1.5058495739981988E-16  0                        -1.1728235343756958E-14  0                        5.1949089673321805E-15   0
0                        2                        1                        0                        0                        0                        0                        0                        0
0                        2                        2                        0                        0                        0                        0                        0                        0
0                        2                        3                        0                        0                        0                        0                        0                        0
0                        2                        4                        0                        0                        0                        0                        0                        0
1                        1                        1                        20.53131848483608        -7.3549757281000705      629.5928460372206        -311.0957551125364       -281.26032440789885      168.30199845742175
1                        1                        2                        -4.219400531480315       1.7385135255923103       -70.96923651105116       19.096044312145885       32.740994482121515       -11.459033509239376
1                        1                        3                        7.519798412059374E-16    -2.0628418102211902E-16  3.8573340882735275E-14   -1.945515502896706E-14   -1.677787916786458E-14   1.024595709530601E-14
1                        1                        4                        -1.5163300479356736E-16  1.3252094042993893E-17   -1.1612294242647762E-14  2.7190284390868022E-15   5.0936040012444405E-15   -1.6727111874085027E-15
1                        2                        1                        7.3549757281000625       20.53131848483649        311.0957551125001        629.5928460373445        -168.3019984574043       -281.2603244079633
1                        2                        2                        3.1918872215568494E-16   7.746762070473087E-16    3.5060078006272923E-15   1.3029855437341364E-14   -2.103862989335903E-15   -6.0112021200962205E-15
1                        2                        3                        -1.303088761289691E-16   -4.750225998603315E-16   -1.2289742112931749E-14  -2.436662217172461E-14   6.472329324232592E-15    1.059851786675811E-14
1                        2                        4                        -8.311722716233294E-18   -9.510432739033202E-17   -1.7053765518042307E-15  -7.283239126662308E-15   1.0491256347083585E-15   3.194712016626381E-15
