% Model:              GenSignalFourierDec18_C44.mph
% Version:            COMSOL 4.4.0.150
% Date:               Dec 12 2013, 09:03
% Table:              Probe Table 1 - 
% k                      l                        , gammac1                , gammas1                , gammac2                , gammas2                , gammac3                , gammas3
0                        1                        -2.5955144692373         0                        -845.090233310356        0                        201.08050789609          0
0                        2                        1.61132805650268         0                        170.618227648506         0                        -40.7833107239734        0
0                        3                        1.13278596347468         0                        858.287466141889         0                        -200.927620030435        0
0                        4                        -0.14859955074010875     0                        -178.8154604800659       0                        41.63042285832259        0
1                        1                        -1.9817971845095013      2.3215245943216756       -564.9840806801731       790.1196350252394        119.79507244103331       -203.73289728724194
1                        2                        -0.7217069075939306      -3.1101920867155743      149.1046669233981        -166.55511827109376      -31.215899523179246      48.31970684448197
1                        3                        0.735719196815019        -1.377645775145219       -64.4344473916899        -1320.1752210417917      64.09325807492769        321.8677923982656
1                        4                        -0.1598922477123354      0.027779146412266753     -179.94975471281265      61.83818202640737        41.28370387921687        -18.766628796548673
2                        1                        -0.1820850176368083      4.323284330814628        249.79780455905893       1357.208903589236        -114.40845905154401      -332.7483291644252
2                        2                        -6.795316781855025       -2.673984106724572       104.06919612621232       -323.64792144864987      -9.503654885487435       95.31575806413889
2                        3                        -0.39003016488607045     -2.842781626105662       -2542.417258558533       -1400.3137391776727      754.0748831076999        227.9123473904201
2                        4                        -0.19151401032797066     0.0439777391450038       -185.02077823345257      125.18224660416945       40.78287563121336        -38.43295705020773
3                        1                        2.670751093598767        5.705420149395588        1520.2675145157918       1502.6694245940125       -472.54546404847315      -320.51415830608767
3                        2                        -14.01285907818677       4.1323235897913975       28.088655157474932       -427.36593908386476      21.817600960406253       126.44161825494211
3                        3                        -1.9539358116939667      -4.349903316587131       -5604.382403402276       627.2584852345026        1533.6143148046503       -554.2536266994684
3                        4                        -0.23527274060154735     0.03754646243800597      -197.70210000428483      188.26719199073113       41.49422184615429        -59.0098060961883
4                        1                        6.338898768833381        6.18456150148954         3103.736736350671        1071.6252084901134       -904.6320524604689       -116.49526898602198
4                        2                        -18.27836864999352       18.72356248548664        -103.71338498200748      -480.8814661571305       69.38496852222534        137.8929266501791
4                        3                        -3.8262204819610606      -5.540144117042871       -7670.054174482546       5227.38309486353         1856.3151428797482       -2113.522089159451
4                        4                        -0.27490657208671054     0.0032212187973224005    -219.15633932707806      244.8170663366709        44.48013066284187        -78.97617386297884
5                        1                        10.500737549725258       5.471784490597074        4784.332328123608        -47.8234151519282        -1336.9386974459449      311.1393622594551
5                        2                        -14.538937431410666      40.69359888870012        -278.9783171492236       -491.9072637289073       130.12781626548394       130.6999961250383
5                        3                        -6.12468798702028        -6.2189426011851765      -6983.9040221466275      12243.312330437766       1114.8657924883446       -4298.006706611937
5                        4                        -0.29313014282945593     -0.050068497559806246    -243.90537679878935      288.8688933976118        48.96116406662179        -96.23006886594226
6                        1                        14.806204904517017       3.291082800600691        6290.674499836678        -1935.4990247100359      -1675.9464606957154      977.9290691611022
6                        2                        2.4954197048249327       67.37218724654021        -481.57539306063336      -453.7628616452548       198.2148431858277        102.60485393504615
6                        3                        -8.874785029872214       -6.343587899524891       -1832.3419177395408      20617.251513685507       -1245.4363175527542      -6626.904849354207
6                        4                        -0.28571301119857084     -0.10413306727616245     -263.72254910707716      321.1722625957009        52.76186056543361        -110.17406014624794
7                        1                        18.89331950389013        -0.5606823905721967      7329.81323863766         -4626.618942140165       -1819.247070575463       1880.8883663056913
